id_,name,population
0201,bolesławiecki,90200
0202,dzierżoniowski,101437
0203,głogowski,89541
0204,górowski,35182
0205,jaworski,50545
0206,jeleniogórski,63855
0207,kamiennogórski,43621
0208,kłodzki,159337
0209,legnicki,55326
0210,lubański,54699
0211,lubiński,106254
0212,lwówecki,46059
0213,milicki,37093
0214,oleśnicki,107062
0215,oławski,76595
0216,polkowicki,62982
0217,strzeliński,43773
0218,średzki,54269
0219,świdnicki,157615
0220,trzebnicki,84886
0221,wałbrzyski,56004
0222,wołowski,47056
0223,wrocławski,146060
0224,ząbkowicki,65428
0225,zgorzelecki,90003
0226,złotoryjski,43869
0261,Jelenia Góra,79480
0262,Legnica,99752
0265,Wałbrzych,112594
0264,Wrocław,640648
0401,aleksandrowski,55274
0402,brodnicki,78898
0403,bydgoski,117325
0404,chełmiński,52193
0405,golubsko-dobrzyński,45140
0406,grudziądzki,40271
0407,inowrocławski,160647
0408,lipnowski,66062
0409,mogileński,45821
0410,nakielski,86590
0411,radziejowski,40714
0412,rypiński,43826
0413,sępoleński,41147
0414,świecki,99281
0415,toruński,106935
0416,tucholski,48374
0417,wąbrzeski,34413
0418,włocławski,86352
0419,żniński,70413
0461,Bydgoszcz,350178
0462,Grudziądz,95045
0463,Toruń,202074
0464,Włocławek,110802
0601,bialski,111391
0602,biłgorajski,101435
0603,chełmski,78228
0604,hrubieszowski,63698
0605,janowski,46057
0606,krasnostawski,63925
0607,kraśnicki,96043
0608,lubartowski,88789
0609,lubelski,154387
0610,łęczyński,57457
0611,łukowski,107449
0612,opolski,59726
0613,parczewski,34954
0614,puławski,113762
0615,radzyński,59278
0616,rycki,56166
0617,świdnicki,72039
0618,tomaszowski,83715
0619,włodawski,38668
0620,zamojski,106935
0661,Biała Podlaska,57352
0662,Chełm,62670
0663,Lublin,339682
0664,Zamość,63813
0801,gorzowski,71549
0802,krośnieński,55245
0803,międzyrzecki,58024
0804,nowosolski,86634
0805,słubicki,47101
0806,strzelecko-drezdenecki,49366
0807,sulęciński,35297
0808,świebodziński,55840
0812,wschowski,39065
0809,zielonogórski,75750
0810,żagański,79583
0811,żarski,96876
0861,Gorzów Wielkopolski,123921
0862,Zielona Góra,140297
1001,bełchatowski,112997
1021,brzeziński,30890
1002,kutnowski,97295
1003,łaski,50103
1004,łęczycki,50143
1005,łowicki,78616
1006,łódzki wschodni,71705
1007,opoczyński,76623
1008,pabianicki,119289
1009,pajęczański,51597
1010,piotrkowski,91315
1011,poddębicki,41205
1012,radomszczański,113315
1013,rawski,48808
1014,sieradzki,118240
1015,skierniewicki,38195
1016,tomaszowski,117259
1017,wieluński,76699
1018,wieruszowski,42213
1019,zduńskowolski,66766
1020,zgierski,165916
1061,Łódź,685285
1062,Piotrków Trybunalski,73670
1063,Skierniewice,48178
1201,bocheński,106514
1202,brzeski,93206
1203,chrzanowski,125385
1204,dąbrowski,59350
1205,gorlicki,109104
1206,krakowski,277145
1207,limanowski,131523
1208,miechowski,49137
1209,myślenicki,127028
1210,nowosądecki,216176
1211,nowotarski,191508
1212,olkuski,112035
1213,oświęcimski,153737
1214,proszowicki,43523
1215,suski,84255
1216,tarnowski,201570
1217,tatrzański,68146
1218,wadowicki,160130
1219,wielicki,127078
1261,Kraków,771069
1262,Nowy Sącz,83896
1263,Tarnów,109062
1401,białobrzeski,33551
1402,ciechanowski,89670
1403,garwoliński,108993
1404,gostyniński,45203
1405,grodziski,94091
1406,grójecki,98451
1407,kozienicki,60472
1408,legionowski,116775
1409,lipski,34214
1410,łosicki,31023
1411,makowski,45247
1412,miński,153824
1413,mławski,73102
1414,nowodworski,79291
1415,ostrołęcki,88735
1416,ostrowski,72782
1417,otwocki,124036
1418,piaseczyński,184951
1419,płocki,111088
1420,płoński,87409
1421,pruszkowski,164240
1422,przasnyski,52824
1423,przysuski,41922
1424,pułtuski,51809
1425,radomski,152117
1426,siedlecki,81352
1427,sierpecki,52196
1428,sochaczewski,85105
1429,sokołowski,54217
1430,szydłowiecki,39864
1432,warszawski zachodni,117007
1433,węgrowski,66174
1434,wołomiński,245357
1435,wyszkowski,74065
1436,zwoleński,36328
1437,żuromiński,38944
1438,żyrardowski,75848
1461,Ostrołęka,52262
1462,Płock,120000
1463,Radom,213029
1464,Siedlce,77872
1465,m.st. Warszawa,1777972
1601,brzeski,90275
1602,głubczycki,45883
1603,kędzierzyńsko-kozielski,94487
1604,kluczborski,65837
1605,krapkowicki,63942
1606,namysłowski,42688
1607,nyski,136946
1608,oleski,64602
1609,opolski,123520
1610,prudnicki,55524
1611,strzelecki,74665
1661,Opole,128137
1801,bieszczadzki,21879
1802,brzozowski,65713
1803,dębicki,135471
1804,jarosławski,120714
1805,jasielski,113962
1806,kolbuszowski,62476
1807,krośnieński,112414
1821,leski,26562
1808,leżajski,69562
1809,lubaczowski,55652
1810,łańcucki,80834
1811,mielecki,136673
1812,niżański,66843
1813,przemyski,74398
1814,przeworski,78458
1815,ropczycko-sędziszowski,74374
1816,rzeszowski,168167
1817,sanocki,94758
1818,stalowowolski,106619
1819,strzyżowski,61558
1820,tarnobrzeski,53236
1861,Krosno,46511
1862,Przemyśl,61251
1863,Rzeszów,193883
1864,Tarnobrzeg,47047
2001,augustowski,58367
2002,białostocki,148145
2003,bielski,54863
2004,grajewski,47518
2005,hajnowski,43143
2006,kolneński,38396
2007,łomżyński,51000
2008,moniecki,40712
2009,sejneński,20092
2010,siemiatycki,44689
2011,sokólski,67466
2012,suwalski,35792
2013,wysokomazowiecki,57248
2014,zambrowski,43816
2061,Białystok,297459
2062,Łomża,63000
2063,Suwałki,69827
2201,bytowski,79299
2202,chojnicki,97551
2203,człuchowski,56370
2204,gdański,116199
2205,kartuski,136619
2206,kościerski,72528
2207,kwidzyński,83291
2208,lęborski,66280
2209,malborski,63748
2210,nowodworski,35746
2211,pucki,85726
2212,słupski,98816
2213,starogardzki,128004
2216,sztumski,41569
2214,tczewski,115876
2215,wejherowski,215908
2261,Gdańsk,466631
2262,Gdynia,246309
2263,Słupsk,91007
2264,Sopot,36046
2401,będziński,148762
2402,bielski,165000
2414,bieruńsko-lędziński,59760
2403,cieszyński,178139
2404,częstochowski,134919
2405,gliwicki,115558
2406,kłobucki,84924
2407,lubliniecki,76593
2408,mikołowski,98373
2409,myszkowski,71119
2410,pszczyński,111202
2411,raciborski,108513
2412,rybnicki,78104
2413,tarnogórski,139833
2415,wodzisławski,157616
2416,zawierciański,118434
2417,żywiecki,153226
2461,Bielsko-Biała,171259
2462,Bytom,166795
2463,Chorzów,108434
2464,Częstochowa,222292
2465,Dąbrowa Górnicza,120259
2466,Gliwice,179806
2467,Jastrzębie-Zdrój,89128
2468,Jaworzno,91563
2469,Katowice,294510
2470,Mysłowice,74586
2471,Piekary Śląskie,55299
2472,Ruda Śląska,138000
2473,Rybnik,138696
2474,Siemianowice Śląskie,67154
2475,Sosnowiec,202036
2476,Świętochłowice,50012
2477,Tychy,127831
2478,Zabrze,173374
2479,Żory,62456
2601,buski,72058
2602,jędrzejowski,86076
2603,kazimierski,33851
2604,kielecki,210694
2605,konecki,80648
2606,opatowski,52577
2607,ostrowiecki,110127
2608,pińczowski,39271
2609,sandomierski,77773
2610,skarżyski,74817
2611,starachowicki,90377
2612,staszowski,72167
2613,włoszczowski,45336
2661,Kielce,195774
2801,bartoszycki,57916
2802,braniewski,41391
2803,działdowski,65442
2804,elbląski,57549
2805,ełcki,91359
2806,giżycki,56754
2818,gołdapski,26908
2807,iławski,93020
2808,kętrzyński,62924
2809,lidzbarski,41512
2810,mrągowski,50080
2811,nidzicki,33068
2812,nowomiejski,43997
2813,olecki,34433
2814,olsztyński,126018
2815,ostródzki,104780
2816,piski,56570
2817,szczycieński,69885
2819,węgorzewski,22873
2861,Elbląg,120142
2862,Olsztyn,172362
3001,chodzieski,47229
3002,czarnkowsko-trzcianecki,87420
3003,gnieźnieński,145317
3004,gostyński,76011
3005,grodziski,51972
3006,jarociński,71686
3007,kaliski,83030
3008,kępiński,56486
3009,kolski,87216
3010,koniński,129966
3011,kościański,79230
3012,krotoszyński,77488
3013,leszczyński,56485
3014,międzychodzki,36982
3015,nowotomyski,75363
3016,obornicki,59858
3017,ostrowski,161519
3018,ostrzeszowski,55403
3019,pilski,136621
3020,pleszewski,63147
3021,poznański,390308
3022,rawicki,60405
3023,słupecki,59371
3024,szamotulski,91185
3025,średzki,58456
3026,śremski,61325
3027,turecki,84101
3028,wągrowiecki,70274
3029,wolsztyński,57326
3030,wrzesiński,77667
3031,złotowski,69606
3061,Kalisz,100975
3062,Konin,74151
3063,Leszno,63952
3064,Poznań,536438
3201,białogardzki,47846
3202,choszczeński,48602
3203,drawski,57397
3204,goleniowski,82540
3205,gryficki,60617
3206,gryfiński,82530
3207,kamieński,47227
3208,kołobrzeski,79547
3209,koszaliński,66355
3218,łobeski,37104
3210,myśliborski,66264
3211,policki,79476
3212,pyrzycki,39639
3213,sławieński,56409
3214,stargardzki,120112
3215,szczecinecki,77965
3216,świdwiński,47242
3217,wałecki,53462
3261,Koszalin,107321
3262,Szczecin,402465
3263,Świnoujście,40910
